Continent,Year,"GDP per capita, PPP (constant 2021 international $)",Gini coefficient,Political regime,Trade (% of GDP),Primary energy consumption per capita (kWh/person),Combined GDP-Gini,Gini-GDP Flag
Europe,1996,33188.166592307694,0.3212932923076923,2.4615384615384617,81.86043561538462,42126.42704615385,22719.550937844637,0.23076923076923078
Europe,2001,39820.97585555555,0.32499610444444443,2.3333333333333335,103.25563677777778,46070.14351111111,27221.977473123614,0.2222222222222222
Europe,2002,41889.67997142857,0.3167238,2.2857142857142856,97.99124342857144,44485.62357142857,28727.47235057725,0.21428571428571427
Europe,2003,46345.08966666667,0.31315306619047617,2.619047619047619,90.41264261904762,54360.221142857146,32170.81042065193,0.38095238095238093
Europe,2004,42742.5987967742,0.3157481790322581,2.7096774193548385,97.42173835483872,49501.56638709678,29481.97933645485,0.25806451612903225
Europe,2005,43063.469586666666,0.317041261,2.6666666666666665,100.35118083333333,49782.49996666667,29674.37000530814,0.3333333333333333
Europe,2008,46042.30298529412,0.3130574061764706,2.6470588235294117,109.40194805882354,49534.38514705882,31746.994122793403,0.2647058823529412
Europe,2010,43969.972285714284,0.31247405342857143,2.6285714285714286,106.32451631428572,47856.53208571428,30486.772282755766,0.2857142857142857
Europe,2012,42373.22486842105,0.31801085710526317,2.5789473684210527,115.33317615789474,44054.673631578946,29121.702939585462,0.2894736842105263
Europe,2013,43473.996378378375,0.3194062994594594,2.5135135135135136,114.844614,44184.00813513513,29856.792916765404,0.2972972972972973
Europe,2014,43369.80607894737,0.31829590105263156,2.5,114.24993368421053,42095.50084210526,29838.842078036465,0.2894736842105263
Europe,2016,45349.762986842106,0.3150049818421053,2.4210526315789473,115.95952721052632,42613.341526315795,31238.531279685314,0.2894736842105263
Europe,2018,47380.534108108106,0.3116015083783784,2.4324324324324325,122.15542581081081,39757.08218918919,32630.863364240802,0.32432432432432434
Europe,2019,48388.51251351352,0.3095521891891892,2.4324324324324325,122.697802,38923.20718918919,33414.716812931714,0.32432432432432434
North America,1995,20971.03466666667,0.46668166000000005,2.3333333333333335,80.00075316666667,41058.28811666666,12429.897108922807,0.0
North America,1996,18843.1569125,0.4574964375,2.25,70.733947,33229.9373125,11016.995301151725,0.0
North America,2001,18121.001766666668,0.5010267822222222,2.2222222222222223,72.84921700000001,29094.387433333333,10295.455579873968,0.0
North America,2002,20755.628833333336,0.48660999666666666,2.3333333333333335,76.01424977777778,32701.85311111111,11702.557007607385,0.0
North America,2003,22762.222857142857,0.4859523885714286,2.4285714285714284,81.14247671428572,37008.52748571429,13070.185402392572,0.0
North America,2004,21576.904555555557,0.4788460588888889,2.3333333333333335,81.401433,32738.36964444445,12263.615392664087,0.0
North America,2005,21646.296888888886,0.48174558777777776,2.3333333333333335,79.54433511111111,31395.509588888886,12279.195238210996,0.0
North America,2008,25446.0840625,0.471750365,2.375,85.256432875,34776.8924625,14448.260668891042,0.0
North America,2010,25298.1727875,0.45604363375,2.25,74.955157375,33657.290875,14616.507712043374,0.0
North America,2012,24012.8795,0.4733365544444445,2.111111111111111,75.03068833333333,30150.37443333333,13679.523378999951,0.0
North America,2013,27922.130857142856,0.4514711742857143,2.2857142857142856,77.53562171428572,36012.61348571428,16145.94003853745,0.0
North America,2014,23848.99516,0.45282250900000004,2.1,74.6902753,27915.45948,13644.335213170067,0.0
North America,2016,28671.80625,0.4441946625,2.25,67.287726875,33824.1440875,16574.52042236006,0.0
North America,2018,27774.159222222224,0.4265806088888889,2.2222222222222223,72.06142688888889,32080.545933333327,16259.36309500113,0.0
North America,2019,31600.972714285715,0.4288132357142857,2.2857142857142856,66.44746971428572,36115.61778571428,18620.84463380329,0.0
Oceania,1995,38014.33,0.3257863,3.0,37.704044,64117.02,25629.782082321,0.0
Oceania,1996,4167.036,0.45765835,2.0,107.80335,2871.9429,2259.9571798494003,0.0
Oceania,2001,44667.926,0.33462042,3.0,44.218704,68338.28,29721.12584135108,0.0
Oceania,2002,9724.101,0.38102055,1.0,126.05258,8027.728,6019.01868872445,0.0
Oceania,2003,46798.09,0.3349686,3.0,40.20157,69082.79,31122.199310026,0.0
Oceania,2004,48256.25,0.3305577,3.0,37.009613,70486.32,32304.774989375,0.0
Oceania,2005,2287.26,0.46088147,2.0,66.574585,2695.842,1233.1042489278,0.0
Oceania,2008,30834.627,0.379020485,1.5,86.9223125,39990.03425,19660.744132053,0.0
Oceania,2010,27585.8148,0.360040125,2.5,72.1724485,35645.19435,17980.207507555795,0.0
Oceania,2012,2743.4534,0.37054926,2.0,104.82363,2854.3516,1726.868772785516,0.0
Oceania,2013,11019.298,0.36696598,0.0,126.34839,7502.866,6975.59051051796,0.0
Oceania,2014,54470.16,0.34398198,3.0,42.484024,66744.195,35733.4065122832,0.0
Oceania,2016,55507.977,0.33685225,3.0,40.97408,66396.19,36809.99005460175,0.0
Oceania,2018,56600.438,0.34332561,3.0,43.736065,65053.54,37168.058097382826,0.0
Oceania,2019,8539.773000000001,0.31512222,1.5,103.3972125,6286.05185,5889.19156505548,0.0
South America,1995,12229.355500000001,0.588355025,2.0,67.524265,16900.8915,5024.973025228425,0.0
South America,1996,13633.721666666666,0.5716220166666667,2.3333333333333335,35.20014916666667,12735.845,5853.792547001783,0.0
South America,2001,9708.8401,0.558051694,2.0,42.747063000000004,10359.372819999999,4256.778458948328,0.0
South America,2002,9825.45374,0.568450542,2.0,44.9284014,10551.1282,4236.561716227675,0.0
South America,2003,12071.0265,0.5402218383333334,2.1666666666666665,50.243250999999994,12925.480733333332,5560.890511119742,0.0
South America,2004,10350.232166666667,0.53745993,2.0,50.18683683333333,10736.685733333334,4759.583690550164,0.0
South America,2005,10651.185749999999,0.539360845,2.0,54.41481266666667,10662.152166666667,4908.021703481793,0.0
South America,2008,13558.735428571428,0.50459955,2.142857142857143,61.18599485714286,12526.25677142857,6755.814061091512,0.0
South America,2010,15140.954000000002,0.48882314400000004,2.2,56.934269799999996,13654.967999999999,7824.904543068023,0.0
South America,2012,15531.003857142858,0.4724805285714286,2.142857142857143,56.90673171428572,13778.833,8265.97009208633,0.0
South America,2013,17613.427375,0.47356533,2.25,55.806870875,15177.572675,9356.27945913487,0.0
South America,2014,16622.6865,0.4733530728571429,2.142857142857143,53.41259842857143,13988.090957142858,8858.162975955309,0.0
South America,2016,16724.205142857143,0.4648871842857143,2.142857142857143,45.612930857142864,14534.091857142857,9037.154175115329,0.0
South America,2018,17163.37207142857,0.45760556714285716,2.142857142857143,48.43176042857143,14379.206757142858,9366.417124758094,0.0
South America,2019,17200.837285714286,0.45577792714285714,1.8571428571428572,48.40564085714285,13975.725999999999,9407.160621562458,0.0
